"name","staff","total.rev","total.costs","profit","turnover","staff.costs","other.rev","vat"
"Jetstar",75,1130,18.915,20.045,,,,
"Grasshopper Records",9,1607,1544,63,1607,131,,
"Grasshoppe rEntertainment",,6919,6493,426,6886,324,-33,
"Blizzat",,3874,3600,274,3861,290,13,
"Equinetworks",,5602,5530,72,,314,37,
"Voyage Softwares",1,25,22,3,25,,,
"Parableutions",5,1335,136,1,,135,,1346
"SunS eeucrity",3,417,342,75,404,,13,
"Grashopper Navigations",6,2596,2486,110,2596,147,,
"Whiteouttwares",5,,,,,,,
"Jupitelligence",5,645,636,9,645,130,,
"araagon Media",5,2.872,2.652,220,2.872,182,,
"Rush Micrrosysttms",13,5690,5656,34,5678,326,12,
"Berycrds",,931.397,841.489,89.908,931.397,36.872,,863
"Blossomman",3,,,,80,40,,813
"Antarts",52,9689,9911,-222,9067,1125,0.622,9640
"Nimble ",10,1520,1384,136,1500,195,20,733
"Melnoeworks",4,440,379,60,440,16,,296
"Worrlddalee",3,690,464.507,225.493,690,19,,486
"Nemotors",8,1852,1812,40,1852,120,,1312
"Deserrpiess",2,368,339,29,359,,9,257
"Moon Microsystems",3,839,717,122,839,2,,654
"Questindustries",2,471,411,60,471,34,,377
"microsystems by Tigress",4,935,814,121,933,31,2,811
"Crowtube",3,1.665,186,1478,1.665,70,,1472
"Aurashack",6,2318,390,86,2318,184,,2082
"Heroworks",2,1.187,,17,1.175,114,12,1058
"Deluge Acoustics",16,2953,2870,83,2946,245,7,2670
"Lemon Technologies",1,492,470,22,492,,,449
"Slickorps",6,1831,1443,388,1831,53,1.831,1695
"Globeorks",29,7301,7242,59,7271,451,30,6754
"Chief Media",8,107,95,100,971,28,,905
"Aipte",13,4129,3601,528,4118,57,11,3841
"oarbite",9,2803,2643,160,2803,106,,2668
"uTlipproducttions",15,2909,2627,282,2876,539,33,2758
"Whiz ooSftware",14,2747,2725.41,22.457,2649,221.302,98.35,2548
"Great Wihe Aviation",6,206,170,37,1024,64,4,995
"Ansfot",53,9842,10000,-160,9842,837,,9655
"Joyrover",7,2501,2347,154,2463,87,38,2441
"Vortexgate",,4543,4266,277,4445,369,98,4412
"Mermedia",20,3295,3168,127,3284,181,11,3263
"Accent Entertainment",2,814,175,,814,107,,810
"NA Stardustechnologies",,1210,1124,86,1210,52,,1205
"Pride Brews",1,343,,,343,,,343
"Corecords",3,952,,149,952,79,,952
"Dragosys",1,41,32,9,41,,,41
"Lucky Coms",60,3633,3626,7,3633,257,,3634
"Lucenttube",8,2906,453,53,2906,144,,2907
"Mountelligence",10,2339,2353,-14,2333,193,6,2335
"Wondershadow",12,2280,2302,-22,2275,222,5,2277
"Monarctronics",7,1728,1681,47,1728,153,,1742
"Tidustries",24,6904,6729,174,6872,485,32,6959
"eMrmaidsow",29,3647,3554,93,3571,311,76,3700
"Timber Acoustics",11,1021,472,549,1021,235,,1067
"Karmarts",1,197,168,30,197,,,221
"Pink Motors",7,917,781,136,917,30,,1030
"Dynamico",8,2000,1700,,2000,,,2271
"Shadelife",3,200,177,222,200,49,,251
"Cloverprises",4,342,299,43,342,30,,1068
"Tucan Systems",6,1411,1215,196,1,179,,1389
