"ID","Name","Age","Nationality","Club","Value","Wage","SprintSpeed","Stamina","Strength","Rep"
158023,"L. Messi",31,"Argentina","FC Barcelona",110500000,565000,86,72,59,5
20801,"Cristiano Ronaldo",33,"Portugal","Juventus",7.7e+07,405000,91,88,79,5
190871,"Neymar Jr",26,"Brazil","Paris Saint-Germain",118500000,290000,90,81,49,5
193080,"De Gea",27,"Spain","Manchester United",7.2e+07,260000,58,43,64,4
192985,"K. De Bruyne",27,"Belgium","Manchester City",1.02e+08,355000,76,90,75,4
183277,"E. Hazard",27,"Belgium","Chelsea",9.3e+07,340000,89,83,66,4
177003,"L. Modrić",32,"Croatia","Real Madrid",6.7e+07,420000,72,89,58,4
176580,"L. Suárez",31,"Uruguay","FC Barcelona",8e+07,455000,75,90,83,5
155862,"Sergio Ramos",32,"Spain","Real Madrid",5.1e+07,380000,75,84,83,4
200389,"J. Oblak",25,"Slovenia","Atlético Madrid",6.8e+07,94000,60,41,78,3
192119,"T. Courtois",26,"Belgium","Real Madrid",6.2e+07,250000,52,38,70,4
188545,"R. Lewandowski",29,"Poland","FC Bayern München",7.7e+07,205000,78,78,84,4
182521,"T. Kroos",28,"Germany","Real Madrid",76500000,355000,62,75,73,4
182493,"D. Godín",32,"Uruguay","Atlético Madrid",4.4e+07,125000,68,66,88,3
167495,"M. Neuer",32,"Germany","FC Bayern München",4.4e+07,135000,60,43,80,5
215914,"N. Kanté",27,"France","Chelsea",6.3e+07,225000,78,96,76,3
211110,"P. Dybala",24,"Argentina","Juventus",8.9e+07,205000,83,80,65,3
202126,"H. Kane",24,"England","Tottenham Hotspur",8.6e+07,205000,72,89,84,3
194765,"A. Griezmann",27,"France","Atlético Madrid",7.8e+07,145000,85,83,62,4
192448,"M. ter Stegen",26,"Germany","FC Barcelona",5.8e+07,240000,50,35,79,3
189511,"Sergio Busquets",29,"Spain","FC Barcelona",51500000,315000,52,86,77,4
179813,"E. Cavani",31,"Uruguay","Paris Saint-Germain",6e+07,2e+05,76,92,78,4
178603,"M. Hummels",29,"Germany","FC Bayern München",51500000,165000,68,66,85,4
168542,"David Silva",32,"Spain","Manchester City",51500000,275000,64,78,52,4
153079,"S. Agüero",30,"Argentina","Manchester City",64500000,3e+05,80,76,73,4
138956,"G. Chiellini",33,"Italy","Juventus",2.7e+07,215000,72,65,89,4
209331,"M. Salah",26,"Egypt","Liverpool",69500000,255000,91,84,70,3
200145,"Casemiro",26,"Brazil","Real Madrid",61500000,285000,65,87,89,3
198710,"J. Rodríguez",26,"Colombia","FC Bayern München",69500000,315000,69,70,68,4
198219,"L. Insigne",27,"Italy","Napoli",6.2e+07,165000,86,75,44,3
197781,"Isco",26,"Spain","Real Madrid",73500000,315000,69,70,59,3
195864,"P. Pogba",25,"France","Manchester United",7.3e+07,255000,79,88,89,4
190460,"C. Eriksen",26,"Denmark","Tottenham Hotspur",73500000,205000,73,92,58,3
189242,"Coutinho",26,"Brazil","FC Barcelona",69500000,340000,75,79,61,3
188567,"P. Aubameyang",29,"Gabon","Arsenal",5.9e+07,265000,95,76,76,3
176676,"Marcelo",30,"Brazil","Real Madrid",4.3e+07,285000,82,91,78,4
173731,"G. Bale",28,"Wales","Real Madrid",6e+07,355000,95,75,80,4
167948,"H. Lloris",31,"France","Tottenham Hotspur",3.6e+07,150000,62,41,43,NA
167664,"G. Higuaín",30,"Argentina","Milan",5.7e+07,245000,73,70,85,4
164240,"Thiago Silva",33,"Brazil","Paris Saint-Germain",2.4e+07,165000,72,74,82,4
162835,"S. Handanovič",33,"Slovenia","Inter",3e+07,110000,55,41,71,NA
